,아이디,날짜,맛평점,양평점,배달평점,리뷰
5255,   손님,2017년 8월 5일,-,-,-,"하나도 주기 아깝네요
고추바사삭는 튀김맛 아닌가요?
튀김이 제대로 입혀진 건 거의 없고 그나마 있는건  흐물거리거 고기도 속까지 다 익지 않은것처럼 다 흐물거려여 다시는가산점에서 시키지 않으려고요
주말저녁에 돈만 버린게 아니라 기분도 입도 버렸네요"
5256,tm**님,2017년 8월 5일,-,-,-,"바사삭바사삭>_<굽네는 사랑입니당❤️
오늘도 역시나 넘나 맛있었어용👍🏻👍🏻
잘먹었습니당 감사합니당♥︎
또 시켜먹으께용!!ㅎㅎ"
5257,   손님,2017년 7월 30일,-,-,-,"먹을만 합니다 닭이 좀 작은듯요
잘먹었어요 굿 ㅎㅎㅎ"
5258,py**님,2017년 7월 29일,-,-,-,45분 예정이라고 문자왔는데 1시간이 지나도 안오네요ㅡㅡ 오긴 오나요?
5259,ha**님,2017년 7월 29일,-,-,-,배달빠르고 맛났어욤
5260,   손님,2017년 7월 28일,-,-,-,치킨이 바삭하지 않아서 좀 아쉬웟어요...ㅠㅠ 그리구 사이다로 시켰는데 콜라가 왔네요 500원 돌려받긴했지만..! 그래도 가족이 맛있게 잘 먹어서 다행이에요
5261,   손님,2017년 7월 24일,-,-,-,맛잇어용
5262,lj**님,2017년 7월 24일,-,-,-,맛잇어요 배달도 예정보다 빨리 왓어요
5263,wo**님,2017년 7월 23일,-,-,-,"자주시켜먹는데 맛은 여전히 좋구요, 소스도 두개주셔서 좋아요! 하지만 이번엔 젓가락이 없고 닭날개가 하나밖에없었네요....하지만 사람이 하는거다보니 모든게 완벽할순없죠! 잘먹었습니다~~~"
5264,   손님,2017년 7월 21일,-,-,-,맛있게 잘 먹었어요~ 저는 볼케이노보다 오리지날이 맛있네요ㅋㅋ
5265,   손님,2017년 7월 20일,-,-,-,진짜 담백하고 맛있는데 양이 좀 적네요 ㅠㅠ
5266,   손님,2017년 7월 18일,-,-,-,"매번시키는딩... 이번에 굽네 오리지널 너무딱딱해서..... 기대이하예용 

양념은 맛있었어용 ㅋㅋ"
5267,   손님,2017년 7월 17일,-,-,-,맛있긴한데 고기가 쪼금 퍽퍽했어요
5268,wo**님,2017년 7월 17일,-,-,-,구로3동점보다 훠어어어어얼씬 맛나고 좋습니다 볼케이노 갈비천왕 존맛탱!!!
5269,41**님,2017년 7월 17일,-,-,-,먹을만 합니다. 전 오리지널이 더 나은듯...
5270,   손님,2017년 7월 17일,-,-,-,"맛굿
서비스굿
양은.........."
5271,   손님,2017년 7월 16일,-,-,-,배달 빠르고 맛있어요
